Name,Type,Rules Text,Notes,Source,Aliases
Acquiescence,Winnu,"**At the end of the strategy phase:**|Exchange 1 of your strategy cards with a strategy card that was chosen by the Winnu player.|Then, return this card to the Winnu player.",See also Acquiescence Omega,Twilight Imperium 4,
Acquiescence Omega,Winnu,"**When the Winnu player resolves a strategic action:**|You do not have to spend or place a command token to resolve the secondary ability of that strategy card.|Then, return this card to the Winnu player.",Replaces Acquiescence.,Twilight Codex Volume I: Ordinian,winnu note
Alliance,Generic,"When you receive this card, if you are not the (color) player, you must place it faceup in your play area.|While this card is in your play area, you can use the (color) player's commander ability, if it is unlocked.|When you activate a system that contains 1 or more of the (color) player's units, return this card to the (color) player.",,Prophecy of Kings,
Antivirus,Nekro,"**At the start of a combat:**|Place this card faceup in your play area. While the card is in your play area, the Nekro player cannot use their TECHNOLOGICAL SINGULARITY faction ability against you.|If you activate a system that contains 1 or more of the Nekro player's units, return this card to the Nekro player.",,Twilight Imperium 4,nekro note
Black Market Forgery,Naaz-Rokha,"**Action:** Purge 2 of your relic fragments of the same type to gain 1 relic.|Then, return this card to the Naaz-Rokha player.",,Prophecy of Kings,"naaz-rokha note, nra note"
Blood Pact,Empyrean,"**Action:** Place this card faceup in your play area.|When you and the Empyrean player cast votes for the same outcome, cast 4 additional votes for that outcome.|If you activate a system that contains 1 or more of the Empyrean player's units, return this card to the Empyrean player.",,Prophecy of Kings,empyrean note
Ceasefire,Generic,"**After the (color) player activates a system that contains 1 or more of your units:**|The (color) player cannot move units to the active system. Then, return this card to the (color) player.",,Twilight Imperium 4,
Creuss IFF,Creuss,"**At the start of your turn during the action phase:**|Place or move a Creuss wormhole token into either a system that contains a planet you control or a non-home system that does not contain another player's ships.|Then, return this card to the Creuss player.",,Twilight Imperium 4,creuss note
Crucible,Vuil'raith,"**After you activate a system:**|Your ships do not roll for gravity rifts during this movement; apply an additional +1 to the move values of your ships that would move out of or through a gravity rift instead.|Then, return this card to the Vuil'raith player.",,Prophecy of Kings,"cabal note, vuil'raith note"
Cybernetic Enhancements,L1Z1X,"**At the start of your turn:**|Remove 1 token from the L1Z1X player's strategy pool and return it to their reinforcements. Then, place 1 command token from your reinforcements in your strategy pool.|Then, return this card to the L1Z1X player.",See also Cybernetic Enhancements Omega,Twilight Imperium 4,
Cybernetic Enhancements Omega,L1Z1X,"**When you gain command tokens during the status phase:**|Gain 1 additional command token.|Then, return this card to the L1Z1X player.",Replaces Cybernetic Enhancements.,Twilight Codex Volume I: Ordinian,"l1z1x note, l1 note"
Dark Pact,Empyrean,"**Action:** Place this card faceup in your play area.|When you give a number of commodities to the Empyrean player equal to your maximum commodity value, you each gain 1 trade good.|If you activate a system that contains 1 or more of the Empyrean player's units, return this card to the Empyrean player.",,Prophecy of Kings,empyrean note
Fires of the Gashlai,Muaat,"**Action:** Remove 1 token from the Muaat player's fleet pool and return it to their reinforcements. Then, gain your war sun unit upgrade technology card.|Then, return this card to the Muaat player.",,Twilight Imperium 4,"fires, muaat note"
